profName,university,nbr citation,specialty
Belkheir Hammouti,"Université Mohammed Premier, Oujda, Morocco",Cited by 24120
Motrani Omar,"Doctorant, première année l'Université Tahri Mohammed Bechar",Cited by 10003
Taibi BEN HADDA,Umm Al-Qura University (KSA) & University Mohammed Premier (Morocco),Cited by 5377
Rachid Touzani,University Mohammed Premier/ OUJDA/ MOROCCO,Cited by 4700
Rachid Touzani,Universite Mohamed Premier,Cited by 4492
Abderrahim ZIYYAT,Université Mohamed Premier - Faculté des Sciences - Oujda Maroc,Cited by 3612
Prof. Smaail RADI                                     (ORCID: 0000-0002-5062-6904),"Department of Chemistry, Faculty of Sciences, University Mohamed Premier, Oujda …",Cited by 3020
Mohamed BNOUHAM,"Faculté des Sciences, Université Mohamed premier",Cited by 2459
Ahmed Mezrhab,"… de Mécanique & Energétique, Faculté des Sciences, Université Mohammed Premier, 60000",Cited by 2296
Mohammed BELLAOUI,"… Biology, Genetics Unit, Faculty of Medicine and Pharmacy, University Mohammed Premier …",Cited by 1876
AZIZI Abdelmalek,"Professeur de Mathématiques et de Cryptographie, Université Mohammed Premier Oujda",Cited by 1555
Yasser Karzazi,Professor - Department of Chemistry - Faculty of Sciences - University Mohammed Premier  …,Cited by 1267
Dr.Omar Sefraoui,"PhD, Engineer, ENSAO University Mohammed premier",Cited by 725
Amine DRYQEN,Université Mohammed Premier d'Oujda,Cited by 541
ASEHRAOU Abdeslam,"Mohammed Premier University, Faculty of Sciences",Cited by 526
Mostafa MIMOUNI,Université Mohamed Premier Faculty of Sciences Oujda,Cited by 522
Imad Elmahi,"Professeur de Mathématiques, Université Mohammed premier - Oujda",Cited by 468
Mohammed aziz elhoumaizi,University Mohammed Premier,Cited by 381
Abdellatif Maamri,"Professeur de l'enseignement supérieur Université Mohammed Premier, Oujda, MAROC",Cited by 373
A. Fouzi TAYBI,Université Mohamed Premier Oujda Maroc,Cited by 318
AZIZ Abdelhak,Université Mohammed Premier,Cited by 278
Adnane Noual,"Assistant Professor of Physics, University of Mohamed Premier",Cited by 252
Maryam Fourtassi,"Professeur de médecine, Université Mohammed Premier",Cited by 230
Abdelkader Zekhnini,"Sciences Faculty, Mohammed Premier University.",Cited by 215
mohammed kaddami,Université hassan 1er,Cited by 172
Mohammad Moinul Haque,"Associate Professor, Department of HRM, Premier University",Cited by 166
Zakaria Adiri,Université Mohammed Premier,Cited by 126
abdelmonaem talhaoui,université mohamed 1er,Cited by 121
Mohammed Diouri,"Professeur de physique, Université Mohammed 1er",Cited by 120
Abdelhafid Serghini,"ESTO, Université Mohammed Premier",Cited by 119
"Doudou, Abdelkader","Université Mohammed Premier, Faculté Pluridisciplinaire de Nador.",Cited by 117
abdessamad benmoumen,"doctorant chercheur, faculté des sciences, Université Mohammed Premier Oujda",Cited by 117
Brahimi Mohamed,"Hematology and cell Therapy, EHU ""1er Novembre 1954"" d'Oran Algérie",Cited by 114
Khalil Kassmi,"Mohamed Premier University, Faculty of Sciences, Department of Physics, Oujda, Morocco",Cited by 106
Larbi Touaf,"Mohammed Premier University, Oujda, Morocco",Cited by 90
Ali Berraaouan,université mohamed Premier,Cited by 88
Faouaz JEFFALI,"Professeur de Physique et Ingénierie, Université Mohammed Premier, Oujda Maroc",Cited by 77
Afaf Bouzidi,Universite Mohamed premier  Oujda   Maroc,Cited by 68
Mohamed ATOUNTI,"Faculté Pluridisciplinaire de Nador , Université Mohamed Premier",Cited by 66
Haitham SGHIOURI,"PhD, Université Mohammed Premier",Cited by 54
"Doudou, Abdelkader","Université Mohammed Premier, Faculté Pluridisciplinaire de Nador.",Cited by 117
abdessamad benmoumen,"doctorant chercheur, faculté des sciences, Université Mohammed Premier Oujda",Cited by 117
Brahimi Mohamed,"Hematology and cell Therapy, EHU ""1er Novembre 1954"" d'Oran Algérie",Cited by 114
Khalil Kassmi,"Mohamed Premier University, Faculty of Sciences, Department of Physics, Oujda, Morocco",Cited by 106
Larbi Touaf,"Mohammed Premier University, Oujda, Morocco",Cited by 90
Ali Berraaouan,université mohamed Premier,Cited by 88
Faouaz JEFFALI,"Professeur de Physique et Ingénierie, Université Mohammed Premier, Oujda Maroc",Cited by 77
Afaf Bouzidi,Universite Mohamed premier  Oujda   Maroc,Cited by 68
Mohamed ATOUNTI,"Faculté Pluridisciplinaire de Nador , Université Mohamed Premier",Cited by 66
Haitham SGHIOURI,"PhD, Université Mohammed Premier",Cited by 54
Mohammed Saifuddin Munna,"Assistant Professor, Department of EEE, Premier University",Cited by 50
Dossiers de recherches en économie et gestion,Université Mohammed Premier Oujda Maroc,Cited by 49
Zouhair Ait Touchente,"PhD student, Mohammed Premier University Oujda",Cited by 45
MAKRANE Hanane,"Faculté des sciences, université mohamed premier, Oujda",Cited by 37
El Hassane ETTIFOURI,Université Mohammed Premier,Cited by 31
Mohamed Mahmoud Chems-Eddin,Université Mohammed Premier Oujda,Cited by 27
Khalid Souilah,"Université Mohammed Premier, Oujda-Maroc.",Cited by 24
MOHAMMED EL HADI,Université Mohammed Premier,Cited by 24
Doha Berraaouan,"PhD student , Mohamed Premier University",Cited by 24
Achraf berrajaa,Universite Mohammed Premier Oujda /  Normandie Universite Le Havre,Cited by 23
Kamal Belhaj,"… Faculté des Sciences, Université Mohammed Premier Oujda, MarocDépartement de …",Cited by 21
khalid salhi,"Université Mohammed Premier Oujda, Oujda, Morocco",Cited by 18
walid dahhane,université mohammed premier,Cited by 16
Rachid Sekhsoukh,"… , Faculté de Médecine et de Pharmacie d'Oujda, Université Mohammed Premier d'Oujda",Cited by 16
Mohammad Iftekhar Monir,"Associate Professor & Chairman, Department of Mathematics, Premier University …",Cited by 14
MOURAD FARISS,Université Mohamed Premier,Cited by 13
Oussama Sbai,Université Mohammed Premier,Cited by 11
Abdelilah EL ATTAR,Professor Mohammed Premier University,Cited by 10
Hicham NASRI,"… des Géosciences Appliquées, Faculté des Sciences, Université Mohammed Premier, Oujda",Cited by 7
MOHAMMED BENALLA,Universite Hassan Premier,Cited by 7
Abdelmajid BOUKHSAS,"Université Mohammed Premier, faculté des sciences, Oujda",Cited by 7
