Prof name,university,nbr citation,specialty
,,,
Mohamed Hafidi,"professor, Cadi Ayyad University",Cited by 6800,
,,,
salah er-raki,"ProcEDE- FST de Marrakech, Université Cadi Ayyad",Cited by 3458,
,,,
GHOULAM Cherki,"Faculty of Sciences and Techniques, Cadi Ayyad University",Cited by 2929,
,,,
Abdelkader Outzourhit,Université Cadi Ayyad,Cited by 2707,
,,,
ABDELGHANI BELLOUQUID,"professeur de mathématique, université cadi ayyad",Cited by 2694,
,,,
ouazzani naaila,"professeur à l'université Cadi Ayyad, Marrakech",Cited by 2408,
,,,
Allal Barroug,Professor - Cadi Ayyad University  - Marrakech,Cited by 2251,
,,,
Mohamed Chabab,"Professor of High Energy Physics, Cadi Ayyad University, Marrakech - Morocco.",Cited by 2183,
,,,
Soulaimani Abderrahmane,"Professeur de Géologie, Université Cadi Ayyad, Marrakech, Maroc",Cited by 2062,
,,,
Saïd Khabba,Professeur de l'Université Cadi Ayyad,Cited by 2045,
,,,
Yedir Ouhdouch,professeur de microbiologie Université Cadi  Ayyad,Cited by 1686,
,,,
Abdellatif Hafidi,CADI AYYAD UNIVERSITY,Cited by 1661,
,,,
Slimani Tahar,"Professor,  Cadi Ayyad University",Cited by 1656,
,,,
Abdelaziz Abbad,"Faculty of Sciences, Semlalia, Cadi Ayyad University, Marrakech, Morocco",Cited by 1642,
,,,
El Modafar cherkaoui,"Professeur de Biologie, Université Cadi Ayyad",Cited by 1583,
,,,
Lahoucine HANICH,"Professeur d'Hydrogéologie, Faculté des Sciences et Techniques de Marrakech, Université …",Cited by 1351,
,,,
M. Hajjaji,"Prof., Université Cadi Ayyad",Cited by 1270,
,,,
Hajar Mousannif,"Professor of Computer Science (Informatique), Cadi Ayyad University, Morocco",Cited by 1267,
,,,
Mohamed Bennis,Université Cadi Ayyad,Cited by 1130,
,,,
Mohammed Skouri,"Professeur de physique, Université Cadi Ayyad Marrakech",Cited by 1109,
Lahcen Maniar,Université Cadi Ayyad Marrakech,Cited by 1066,
,,,
Ahmed EL HICHOU,Université Cadi Ayyad,Cited by 990,
,,,
Brahim Benhamou,"Cadi Ayyad University Marrakech, Physics-ThermoFluid",Cited by 897,
,,,
Mohamed Aziz Taoudi,"Professeur de Mathématiques, Université Cadi Ayyad",Cited by 779,
,,,
M'barek Amjoud,"Professor Cadi Ayyad university Marrakesh, Morocco",Cited by 725,
,,,
Mamor Mohamed,"Professeur en physique, Université Cadi  Ayyad, Marrakech",Cited by 672,
,,,
Badia Aganchich,cadi ayyad university,Cited by 662,
,,,
Ahmed Aamouche,Cadi Ayyad University,Cited by 654,
,,,
Younes Fakir,"Cadi Ayyad University, Marrakech, Morocco",Cited by 617,
,,,
essaifi abderrahim,Cadi Ayyad university,Cited by 566,
,,,
Aziz Ouaarab,"Assoc. Prof., Cadi Ayyad University",Cited by 537,
,,,
EL Meziane,Université Cadi Ayyad,Cited by 497,
,,,
Issam EL GHAZALI,Université cadi Ayyad,Cited by 491,
,,,
Tarik Agouti,Department of Computer Science - Cadi Ayyad University,Cited by 477,
,,,
zrikem zaki zrikem zaki,Cadi Ayyad Uneversity,Cited by 470,
,,,
Karima Khalil,Cadi Ayyad University,Cited by 468,
,,,
Ahmed MDARHRI,université Cadi Ayyad,Cited by 437,
,,,
Abdellah El Kacimi,Associate Professor Cadi Ayyad University,Cited by 426,
,,,
Nour-Eddine Laftouhi,"Professeur d'Hydrologie et d'Hydrogéologie , Université Cadi Ayyad de Marrakech",Cited by 416,
,,,
mohammed hassani,professeur de mathématiques Université Cadi Ayyad,Cited by 411,
,,,
M'hammed El Kahoui,"Prof., Cadi Ayyad University, Morocco",Cited by 402,
,,,
Said Boulite,"Associate professor , Cadi Ayyad University Marrakech",Cited by 368,
,,,
ELFazziki,"professeur d'informatique, Université Cadi Ayyad, Marrakech Maroc",Cited by 352,
,,,
Moha Berraho,Professeur universite cadi ayyad marrakech-maroc,Cited by 324,
,,,
Oudrhiri Hassani Fahd,Université Cadi Ayyad,Cited by 302,
,,,
EL Houssine EL Mazoudi,"Professeur d'informatique, Université Cadi Ayyad",Cited by 279,
,,,
Mohamed El Mehdi SAIDI,Université Cadi Ayyad Marrakech,Cited by 259,
,,,
M.aytougougdal Gougdal,université cadi ayyad,Cited by 246,
,,,
