,prof ,university,cited by
1,Farida Fassi,"University Mohammed V in Rabat, Faculty of Sciences",210371
2,Rajaâ Cherkaoui El Moursli,"Professor of Physics,  Mohammed V University in Rabat",188793
3,tayalati yahya,"University Mohammed V in Rabat, ESMaR and CERN, the European Organization for …",179807
4,Redouane Abouqal,"Mohammed V University, Faculty of Medicine And Pharmacy, Rabat, Morocco",7394
5,abdelilah benyoussef,Université Mohammed V,7130
6,El Mokhtar Essassi,University Mohammed V of Rabat,6494
7,Zouheir Sekkat,Université Mohammed V de Rabat,6365
8,Azeddine Ibrahimi,"Faculté de Médecine et de Pharmacie de Rabat, Université Mohammed V de Rabat …",4829
9,driss aboutajdine,Mohammed V University,4756
10,sekkou kertit,Mohammed V University,4375
11,Abdellah El Maghraoui,"Professeur de Rhumatologie, Hôpital Militaire Mohammed V, Université Mohammed V …",4261
12,Ali Idri,"Mohammed V University in Rabat, Mohammed VI polytechnic University,  Morocco",4124
13,Zoubida Charrouf,"Professeur de Chimie, Université Mohammed V Rabat, Maroc",3810
14,mohamed yahyaoui,Mohammed V University,3153
15,Nour Eddine ES-SAFI,Mohammed V University in Rabat,2810
16,ahmed chalouan,Mohammed V University,2584
17,mohamed hmamouchi,Université Mohammed V,2524
18,Pr. Youssef Bakri,Mohammed V University-Faculty of science; Rabat-Morocco,2311
19,EZ-ZAHRAOUY Hamid,University Mohammed V Rabat; Faculte des Sciences,2299
20,GUENBOUR  Abdellah,Université Mohammed V; Faculté des Sciences ;Rabat(Maroc),2270
21,Abdelkarim Filali-Maltouf,"Professor of Microbiology and Molecular Biology, Biotechnology, University Mohammed V …",2262
22,Mohammed Soufiaoui,Université Mohammed V,2191
23,Khalid Taghzouti,Université Mohammed V - Rabat,2121
24,Akhaddar Ali,Pr. Neurosurgery. Avicenne Military Hospital Marrakech. Univ Mohammed V Rabat Maroc …,2036
25,Khalid Bougrin,"Professor of Chemistry, director of ECPSOB, @University of Mohammed 5 in Rabat,",1929
26,Lahsen Achemlal,Mohammed V University in Rabat,1857
27,Lahsen ACHEMLAL,Mohamed V University in Rabat,1857
28,Ahmed Bouhouche,"Faculté de Médecine et de Pharmacie, Rabat",1856
29,Mohamed Essaaidi,"ENSIAS, Mohammed V University, Morocco",1834
30,Lahcen Azrar,Mohammed V University,1788
31,Ahmed EL HASSANI,Université Mohammed V de Rabat,1738
32,Youssef RAMLI,"Mohammed V University in Rabat, Faculty of Medicine and Pharmacy",1688
33,Mohammed ouassaid,"Professor of Electrical Engineering, Mohammed V University in Rabat, Ecole Mohammadia …",1682
34,Katim Alaoui,"Professeur of Pharmacology, Mohammed V University, Faculty of Medicine and Pharmacy …",1581
35,essadki ahmed,ENSET Mohammed V university Rabat,1561
36,Mohammed EL ACHOURI,"Professeur de chimie,Université Mohammed V",1502
37,Imane Jroundi,"Faculté de médecine et de pharmacie de Rabat, Université Mohammed v",1465
38,M.Taibi,Université Mohammed V de Rabat,1444
39,Mohamed Fennane,Université Mohammed V de Rabat,1435
40,Abderrahmane Nounah,"Mohammed V University, Ecole Supérieure de Technologie",1399
41,ahmed bouhaouss,Mohammed V University,1346
42,Fatima-Zahra Chaoui,"ENSET, Université Mohamed V, Rabat",1337
43,"Omar Mounkachi,",Université Mohammed V de Rabat,1229
44,souad fkih tetouani,Université Mohammed V,1229
45,Mohammed regragui,"Laboratoire de physique des matériaux, Faculté des sciences, Université Mohammed V …",1226
46,laanab; Laânab ; Laaneb,Mohammed V University in Rabat Morocco,1200
47,AMEZIANE EL HASSANI Rabii,Université Mohammed V de Rabat. Faculté des Sciences. Laboratoire BioPatH,1169
48,OUMKELTOUM ENNIBI,"Mohammed V University in Rabat, Mohammed V University of Rabat",1143
49,Oumaima Outani,Mohammed 5 University,1114
50,Rhazi Laila,Université Mohammed V de Rabat,1065
51,Abdelfatah TAHIRI orcid : 0000-0003-1754-2634,Geophy. Natural Patrimony Green Chemistry Research Center (GEOPAC) Mohammed V …,1061
52,Souad El Hajjaji,Mohammed V University in Rabat,1042
53,mimoun harnafi,Université Mohammed V de Rabat,1039
54,Yassine Hassouni,Equipe des Sciences de la Matière et du Rayonnement-ESMAR.,1006
55,mohammed halim,Mohammed V University,1004
56,Abdelhak Hassouni,"Professeur de Mathématiques, Mohammed V University in Rabat",980
57,E. Feddi,"Group of Optoelectronic of Semiconductors and Nanomaterials, ENSAM, Mohammed V …",973
58,Aomar Iben brahim,"Scientific Institute, Mohamed Vth University, Rabat, Morocco",972
59,Ihsane Hmamouchi,Rhumatologue Epidemiologiste MD. PhD.,971
60,Abdelkrim Rimi,"Professor of Geophysics, Mohammed v University of Rabat",921
61,Lyahyai Jaber,"Faculté de Médecine et de Pharmacie, Rabat",903
62,Mohamed Cherkaoui,"Ecole Mohammadia d'ingénieurs, Université Mohammed V Rabat",899
63,Hocein BAZAIRI,"Université Mohammed V, Faculté des Sciences, Centre de Recherche 'BioBio', Laboratoire ' …",881
64,Si Lhoussain Aouragh,Professeur de statistique et informatique,881
65,Ahmed Hammouch,UM5,871
66,Driss Bennis,Mohammed V University in Rabat,864
67,Abdellatif Bayed,"Professeur, Université Mohammed V de Rabat",857
68,Larbi Boudad,Professeur,845
69,El Amrani El Hassani Iz-Eddine,Université Mohammed V de Rabat,837
70,"Mohammed El Hassouni,","Full Professor, Computer Science, Mohammed V University in Rabat, Morocco",826
71,Abdellatif El Afia,Full Professor,800
72,"Jihane Belayachi  MD, PHD","UNIVERSITY MOHAMMED V - Faculty Medicine and Pharmacy, Rabat, Morocco.",785
73,Mohamed TABYAOUI,"Professeur de Chimie organique, Université Mohammed V",785
74,badredine hassam,Mohammed V University,777
75,Fekhaoui Med,Pr environment et risques sanitaires,766
76,Karim Baïna,"Vice-Dean Research-Innovation-Partnership|Full Prof. of Comp. Sc. at ENSIAS, Mohammed …",735
77,mhammed elazzouzi,Mohammed V University,729
78,Hassane Mahmoudi,"Université Mohammed V, Ecole Mohammadia d'Ingénieurs, Rabat",723
79,Lalla BTISSAM DRISSI,"Professor of Physics, Faculty of Science, MOHAMMED V University in RABAT",710
80,Mostafa Belkasmi,"Mohammed V University at Rabat, Morocco",700
81,Abdellatif Kobbane,"Professor at ENSIAS, Mohammed V University in Rabat",691
82,Lahcen aitbrahim,Mohammed V University,691
83,abdelkader belkouchi,Université Mohammed V,687
84,Ahmed ABBOU,"Professeur à EMI, UM5R",678
85,Mahmoud NASSAR,"ENSIAS, Mohammed V University In Rabat, Morocco",663
86,abdelhak hakiki,Mohammed V University,647
87,Smouni Abdelaziz,"Faculté des sciences, Université Mohamed V de Rabat",646
88,Abdelilah JILBAB,Université Mohammed V de Rabat,640
89,aziz amari,Mohammed V University in Rabat,637
90,Mohamed Asbik,"Moammed V University, ENSAM, Rabat (Ex-ENSET)",625
91,Hamid Slimani (ORCID: https://orcid.org/0000-0001-6392-1913),"Professor.  Scientific Institute, University Mohammed V in Rabat, Morocco",611
92,Omar El Malki,Université Mohammed V de Rabat,605
93,mfadel ahmamou,Mohammed V University,604
94,yahya bensouda,Mohammed V University,598
95,Samir Bennani,Université Mohammed V; ECOLE MOHAMMADIA D INGENIEURS,561
96,"RACHID OULAD HAJ THAMI || ROH THAMI || Thami, R. OH Thami ||ROH Thami|| R. Oulad Haj","ENSIAS, Université Mohamed V, rabat",541
97,Amine DRYQEN,Université Mohammed Premier d'Oujda,541
98,Raddouane Chiheb,Université Mohammed V de Rabat,538
99,Rdouan Faizi,"ENSIAS, Mohammed V University in Rabat",535
100,ILHAM BERRADA,Université Mohammed V de Rabat,518
101,salah baina,Ecole Nationale Supérieure d'Informatique et Analyse des Systèmes,510
