profName,university,nbr citation,specialty
abdeslam hoummada,"professeur de physique, Université Hassan II Casablanca",Cited by 255160
El Khasmi Mohammed,"Université Hassan II de Casablanca, Faculté des sciences Ben M'Sick, Département de …",Cited by 27990
Aziz Amine,Hassan II University of Casablanca,Cited by 8218
Said Broumi,"Laboratory of Information Processing, Faculty of Science Ben M'Sik, University Hassan II …",Cited by 5004
Mohamed Zahouily,Professeur Foundation MAScIR et Université Hassan II Casablanca,Cited by 3547
Noureddine Damil,"Professeur de mécanique, Université Hassan II de Casablanca",Cited by 2761
Said Gmouh,Université Hassan II de Casablanca,Cited by 2615
MOHAMMED BERRADA,"Professeur de Chimie organique, Universite Hassan II de Casablanca",Cited by 2566
gourich bouchaib,Université Hassan II de Casablanca,Cited by 2343
Zaglou Mohamed,Hassan II University of Casablanca,Cited by 2267
Sellama Nadifi,"Professeur de génétique , université hassan II Casablanca maroc",Cited by 2207
Rachida Roky,"Professor of Neuroscience, Hassan II university of Casablanca",Cited by 2151
Boubker MEHDAOUI,"Professeur assistant à l'université Hassan II, Casablanca",Cited by 1820
Mohamed Belhaq,university Hassan II-Casablanca,Cited by 1721
Hassan Hannache,"Professeur de matériaux, Université Hassan II de Casablanca",Cited by 1703
Mohamed Berriane,"Professeur émérite de Géographie, Université Mohammed V - Agdal - Académie Hassan II",Cited by 1654
Rachid SAILE,Université Hassan II,Cited by 1629
abdelmjid abourriche,"Professeur de Chimie, Université Hassan II de Casablanca",Cited by 1598
Said Lazar,"Professeur de Biochimie, Université Hassan II",Cited by 1586
Mohammed Daoud,"Pofessor of theoretical physics, Hassan II university, Casablanca, Morocco",Cited by 1400
Abdelaziz El Jazouli,"Professor of Chemistry and Materials Science at Hassan II University - Casablanca, Morocco …",Cited by 1314
Said Ouaskit,université Hassan II de Casablanca,Cited by 1260
EL BOUARI ABDESLAM,"Professeur, Université Hassan II de Casablanca,  Maroc",Cited by 1176
Abderrahim Wakif,"Hassan II University, Faculty of Sciences Aïn Chock, Laboratory of   Mechanics, BP5366 …",Cited by 1176
Aawatif HAYAR,University Hassan II Casablanca,Cited by 1099
salah souabi,"… Supérieur. Engineering laboratory proceses and environment. Hassan II, University  …",Cited by 1097
HASNA MOHAMMADI,Hassan II University of Casablanca-Morocco,Cited by 1050
KAAOUAS Nadia,"Professeure de linguistique française, Laboratoire LADSIS Université Hassan II de …",Cited by 997
Fouad Mellouki,"University Hassan II of Casablanca, Morocco",Cited by 881
Essaid Sabir,"ENSEM, Hassan II University of Casablanca",Cited by 873
Hassan El Hadi,"… of Geodynamics of Old Chains, Facultyof Sciences Ben M'Sik, University Hassan II of",Cited by 863
Mehdi Ouahmane,"University of Hassan II, Casablanca. Faculty of Sciences Ben M'Sik.",Cited by 808
Mohamed AGOUB,"Professeur de Psychiatrie, Faculté de médecine Casablanca, Université Hassan II ",Cited by 771
Z. SOFIANI,"Professeur de Physique, FSTM, Université Hassan II de Casablanca,",Cited by 747
Mustapha MOUFLIH,Professeur Hassan II University of Casablanca,Cited by 740
Boulahia Zoubair,"Hassan II University, Faculty of Sciences Aïn Chock, Laboratory of Mechanics, BP5366 …",Cited by 735
Wadi Badri,université Hassan II de Casablanca,Cited by 730
Hasnaa Chennaoui,"Professor of Geology, Hassan II University casablanca ",Cited by 672
Bouazza Braikat,Professeur de Mécanique;Université Hassan II de Casablanca,Cited by 655
Samir ZOUHRI,"University Hassan II of Casablanca, Morocco",Cited by 654
yaktine elyamani,university hassan II,Cited by 642
sanaa aidi,Hassan II University of Casablanca,Cited by 635
Mama El Rhazi,University Hassan II of Casablanca,Cited by 614
Myriam Riyad,"Université Hassan II de Casablanca, Faculté de Médecine et Pharmacie",Cited by 603
Samir Zouhri,Université Hassan II de Casablanca,Cited by 590
Omar Bouattane,"Professor in ELECTRICAL ENGINEERING, ENSET Université Hassan II de Casablanca",Cited by 565
Abderrahim Sekkaki,Université Hassan II,Cited by 559
El Alami Mustapha,Hassan II University of Casablanca,Cited by 557
Mounia Oudghiri,Professeur d'immunologie Université Hassan II de Casablanca,Cited by 521
Ahmed Bennamara,Université hassan II,Cited by 503
abdenbi khouaja,"professeur de physique nucléaire, université hassan2 de Casablanca",Cited by 498
CHTITA SAMIR,"Professor - Faculty of sciences, Ben M'Sik, Hassan II University -",Cited by 488
IZZAKI Badr-eddine,Hassan II University of Casablanca,Cited by 477
ouail ouchetto,"Doctor from Paris-Sud University, France /Prof. Hassan II University, Morocco",Cited by 455
Ahmed Taik,"FST-Mohammedia, Université Hassan II",Cited by 441
faouzi lakrad,"Professeur de Mécanique, Université Hassan II Casablanca",Cited by 438
KARIMA MASMAR,Université hassan II casablanca,Cited by 426
Ahmed TAIK,"Professor Applied Maths, Hassan II - Casablanca University",Cited by 424
Karam Allali,University Hassan II of Casablanca,Cited by 415
Dr M. Bennani Othmani,"Faculté Médecine Casablanca , Université Hassan II, CHU Ibn Rochd, Casablanca",Cited by 413
