Rank;Global Rank;Institution;Country;Sector;Year
1;681;Universite Mohammed-V;MAR;Universities;2019
2;689;Universite Mohammed Premier;MAR;Universities;2019
3;730;Universite Hassan II;MAR;Universities;2019
4;734;Universite Cadi Ayyad;MAR;Universities;2019
5;751;Universite Sidi Mohamed Ben Abdellah;MAR;Universities;2019
6;771;Universite Chouaib Doukkali;MAR;Universities;2019
7;774;Universite Ibn Tofail;MAR;Universities;2019
8;776;Universite Abdelmalek Essaadi Tetouan;MAR;Universities;2019
9;777;Universite Moulay Ismail;MAR;Universities;2019
10;778;Universite Sultan Moulay Slimane;MAR;Universities;2019
11;780;Universite Ibn Zohr;MAR;Universities;2019
12;792;Institut National des Postes et Telecommunications;MAR;Universities;2019
