Rank;Global Rank;Institution;Country;Sector;Best Country Quartile;Year
1;716;Universite Mohammed-V;MAR;Universities;1;2020
2;722;Universite Mohammed Premier;MAR;Universities;1;2020
3;736;Universite Cadi Ayyad;MAR;Universities;1;2020
4;765;Universite Hassan II de Casablanca;MAR;Universities;1;2020
5;787;Universite Sidi Mohamed Ben Abdellah;MAR;Universities;2;2020
6;795;Universite Sultan Moulay Slimane;MAR;Universities;1;2020
7;798;Universite Ibn Tofail;MAR;Universities;2;2020
8;803;Universite Hassan 1er;MAR;Universities;2;2020
9;810;Universite Moulay Ismail;MAR;Universities;3;2020
10;813;Universite Abdelmalek Essaadi;MAR;Universities;2;2020
11;817;Universite Chouaib Doukkali;MAR;Universities;3;2020
12;826;Universite Ibn Zohr;MAR;Universities;2;2020
