Rank;Global Rank;Institution;Country;Sector;Year
1;626;Universite Abdelmalek Essaadi Tetouan;MAR;Universities;2014
2;630;Universite Cadi Ayyad;MAR;Universities;2014
3;633;Universite Mohammed V-Agdal;MAR;Universities;2014
4;651;Universite Mohammed Premier;MAR;Universities;2014
5;670;Universite Ibn Zohr;MAR;Universities;2014
6;671;Universite Hassan II - Ain Chock;MAR;Universities;2014
7;673;Universite Sidi Mohamed Ben Abdellah;MAR;Universities;2014
8;674;Universite Ibn Tofail;MAR;Universities;2014
9;678;Universite Mohammed V-Souissi;MAR;Universities;2014
9;678;Universite Moulay Ismail;MAR;Universities;2014
10;681;Universite Hassan II Mohammedia;MAR;Universities;2014
