Rank;Global Rank;Institution;Country;Sector;Year
1;674;Universite Mohammed-V;MAR;Universities;2018
2;693;Universite Cadi Ayyad;MAR;Universities;2018
3;694;Universite Sidi Mohamed Ben Abdellah;MAR;Universities;2018
4;698;Universite Mohammed Premier;MAR;Universities;2018
5;709;Universite Abdelmalek Essaadi Tetouan;MAR;Universities;2018
6;719;Universite Chouaib Doukkali;MAR;Universities;2018
7;723;Institut National des Postes et Telecommunications;MAR;Universities;2018
8;724;Universite Ibn Zohr;MAR;Universities;2018
9;725;Universite Hassan II;MAR;Universities;2018
10;732;Universite Moulay Ismail;MAR;Universities;2018
11;734;Universite Ibn Tofail;MAR;Universities;2018
12;768;Universite Sultan Moulay Slimane;MAR;Universities;2018
